#;PSRJ;RAJD;DECJD;P0;P1;DM;
#;;(deg);(deg);(s);;(cm^-3pc);
251,J0652-0142,103.046275,-1.708417,0.924054,116.30,23.890,*,0.41,
252,J0653+8051,103.312875,80.866728,1.214441,33.32,13.900,6.50,0.40,
253,J0656-2228,104.125862,-22.473764,1.224754,32.39,16.000,*,0.60,
254,J0656-5449,104.204125,-54.820811,0.183157,67.50,5.400,*,*,
255,J0658+0022,104.563371,0.376472,0.563295,122.00,12.670,*,0.13,
256,J0659+1414,104.950558,14.239306,0.384891,14.08,18.400,6.50,3.70,
257,J0700+6418,105.157508,64.303111,0.195671,8.77,6.000,5.00,0.30,
258,J0702-4956,105.663750,-49.942833,0.665994,98.70,*,*,*,
259,J0709-5923,107.385554,-59.398778,0.485268,65.00,5.100,*,*,
260,J0711+0931,107.900750,9.523611,1.214090,46.24,*,2.40,0.04,
261,J0711-6830,107.975788,-68.513171,0.005491,18.41,1.092,10.00,3.20,
262,J0719-2545,109.780750,-25.750064,0.974725,253.89,17.000,*,0.82,
263,J0720-3125,110.104008,-31.430579,8.391116,*,*,*,*,
264,J0721-2038,110.428770,-20.635295,0.015542,76.10,0.640,*,0.63,
265,J0725-1635,111.251684,-16.596060,0.424311,98.98,4.100,4.00,0.33,
266,J0726-2612,111.533833,-26.210583,3.442308,69.40,31.000,*,0.20,
267,J0729-1448,112.318542,-14.810222,0.251659,92.30,12.500,*,0.70,
268,J0729-1836,112.384798,-18.611875,0.510160,61.29,5.900,11.20,1.40,
269,J0733-2345,113.352500,-23.765611,1.796250,194.00,20.000,*,0.07,
270,J0734-1559,113.500000,-15.983333,0.156250,*,*,*,*,
271,J0735-62,113.841667,-62.966667,4.862940,19.40,*,*,*,
272,J0737-2202,114.433629,-22.034811,0.320366,95.70,6.300,*,0.47,
273,J0737-3039A,114.463535,-30.661310,0.022699,48.92,14.300,*,1.60,
274,J0737-3039B,114.463535,-30.661310,2.773461,48.92,58.000,*,1.30,
275,J0737+69,114.250000,69.233333,6.824240,16.00,*,1.20,*,
276,J0738-4042,114.634704,-40.711372,0.374920,160.80,29.000,190.00,83.70,
277,J0740+41,115.250000,41.066667,0.003139,20.83,*,5.80,*,
278,J0740+6620,115.190825,66.342681,0.002886,14.96,*,32.50,*,
279,J0742-2822,115.704408,-28.378822,0.166762,73.78,5.400,296.00,15.00,
280,J0745-5353,116.259583,-53.856111,0.214836,122.30,13.000,23.00,*,
281,J0746-4529,116.747992,-45.490736,2.791025,134.57,39.000,*,0.20,
282,J0746+66,116.500000,66.600000,0.407670,28.00,*,7.40,*,
283,J0749-4247,117.456979,-42.795039,1.095452,104.59,20.000,8.00,0.60,
284,J0750+57,117.500000,57.000000,1.174875,27.00,*,2.90,*,
285,J0751+1807,117.788147,18.127357,0.003479,30.25,0.700,10.00,3.20,
286,J0754+3231,118.669533,32.532278,1.442349,39.99,12.200,8.00,0.60,
287,J0758-1528,119.621128,-15.469094,0.682265,63.33,7.600,8.20,2.00,
288,J0804-3647,121.092500,-36.793194,2.191987,196.00,37.950,*,0.29,
289,J0806+08,121.520833,8.283333,2.063100,46.00,*,*,*,
290,J0806-4123,121.597500,-41.375250,11.370386,*,*,*,*,
291,J0807-5421,121.946604,-54.357350,0.526644,165.03,11.000,*,0.35,
292,J0808-3937,122.048458,-39.631361,0.866349,165.00,13.190,*,0.21,
293,J0809-4753,122.432875,-47.898650,0.547199,228.30,15.000,46.00,3.00,
294,J0812-3905,123.061675,-39.096922,0.482596,327.00,37.060,*,0.88,
295,J0814+7429,123.747917,74.484917,1.292241,5.75,41.400,79.00,10.00,
296,J0815+0939,123.786567,9.664083,0.645161,52.66,166.000,3.70,*,
297,J0818-3049,124.705417,-30.825278,0.763742,133.70,6.410,*,0.45,
298,J0818-3232,124.608063,-32.541814,2.161259,131.80,21.000,*,0.86,
299,J0820-1350,125.109924,-13.848850,1.238130,40.94,22.100,102.00,7.00,
300,J0820-3826,125.249717,-38.445244,0.124836,195.56,6.600,*,1.25,
301,J0820-3921,125.204625,-39.365472,1.073567,179.40,44.000,*,0.56,
302,J0820-4114,125.064375,-41.243444,0.545446,113.40,135.000,65.00,5.20,
303,J0821-4221,125.435983,-42.357072,0.396728,270.60,17.000,*,0.51,
304,J0821-4300,125.489022,-43.004743,0.112799,*,*,*,*,
305,J0823+0159,125.790700,1.986781,0.864873,23.73,21.200,30.00,1.50,
306,J0824+00,126.066667,0.450000,0.009900,35.00,*,*,*,
307,J0826+2637,126.714097,26.623275,0.530661,19.48,5.800,73.00,10.00,
308,J0828-3417,127.069273,-34.285291,1.848919,52.20,740.000,16.00,0.25,
309,J0831-4406,127.885125,-44.103306,0.311674,254.00,6.100,*,0.43,
310,J0834-4159,128.567917,-41.997500,0.121116,240.50,5.800,*,0.19,
311,J0834-60,128.708333,-60.583333,0.384645,20.00,*,*,*,
312,J0835-3707,128.762833,-37.130972,0.541404,112.30,4.900,*,0.28,
313,J0835-42,128.904167,-42.543611,0.738400,190.00,*,*,*,
314,J0835-4510,128.835881,-45.176354,0.089328,67.99,2.100,5000.00,1100.00,
315,J0837+0610,129.273508,6.170711,1.273768,12.86,23.900,89.00,4.00,
316,J0837-24,129.433333,-24.796667,*,142.80,1.000,*,*,
317,J0837-4135,129.338257,-41.587325,0.751624,147.29,8.900,197.00,16.00,
318,J0838-2621,129.578338,-26.358208,0.308581,116.90,7.000,*,0.40,
319,J0838-3947,129.628333,-39.789444,1.703946,219.00,57.000,*,0.11,
320,J0840-5332,130.141167,-53.543194,0.720612,156.50,23.000,19.00,2.00,
321,J0842-4851,130.522375,-48.855778,0.644354,196.85,8.300,6.20,0.62,
322,J0843+0719,130.890917,7.313278,1.365860,36.60,23.000,*,*,
323,J0843-5022,130.791183,-50.378639,0.208956,178.47,6.100,*,0.31,
324,J0846-3533,131.525252,-35.561292,1.116097,94.16,22.000,16.00,2.70,
325,J0847-4316,131.988875,-43.282444,5.977493,292.50,27.000,*,*,
326,J0848+16,132.220833,16.716667,0.452400,38.00,*,*,*,
327,J0849-6322,132.427458,-63.376389,0.367953,91.29,7.200,*,*,
328,J0849+8028,132.256282,80.483090,1.602228,34.81,*,1.50,*,
329,J0855-3331,133.910056,-33.527584,1.267536,86.64,22.800,7.70,0.60,
330,J0855-4644,133.900750,-46.737056,0.064686,238.20,7.500,*,0.20,
331,J0855-4658,133.831542,-46.972944,0.575072,472.70,11.000,*,0.23,
332,J0856-6137,134.247125,-61.631472,0.962509,95.00,23.000,11.00,*,
333,J0857-4424,134.479829,-44.402867,0.326774,184.43,9.900,12.00,0.88,
334,J0900-3144,135.183138,-31.741915,0.011110,75.71,0.800,*,3.80,
335,J0901-4624,135.417167,-46.413472,0.441995,198.80,5.100,*,0.46,
336,J0902-6325,135.635000,-63.420000,0.660313,76.00,18.000,4.50,*,
337,J0904-4246,136.246667,-42.770556,0.965171,145.80,21.000,8.00,0.60,
338,J0904-7459,136.045000,-74.995222,0.549553,51.10,20.000,11.00,*,
339,J0905-4536,136.349583,-45.614722,0.988281,179.70,35.000,13.00,0.83,
340,J0905-5127,136.466342,-51.463531,0.346287,196.43,9.000,12.00,1.10,
341,J0905-6019,136.313521,-60.322794,0.340854,91.40,6.000,*,0.36,
342,J0907-5157,136.816250,-51.966458,0.253556,103.72,13.000,35.00,9.30,
343,J0908-1739,137.159092,-17.660464,0.401626,15.88,9.500,16.00,3.20,
344,J0908-4913,137.148042,-49.218472,0.106755,180.37,2.800,28.00,10.00,
345,J0909-7212,137.400000,-72.202333,1.362890,54.30,17.000,6.50,*,
346,J0910+77,137.500000,77.466667,1.579050,*,*,*,*,
347,J0912-3851,138.177917,-38.850833,1.526085,71.50,38.000,*,0.14,
